127.0.0.1 - - [17/Aug/2021:08:12:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:12:57 +0900] "GET /JSP/ex11write.jsp HTTP/1.1" 500 2663
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:13:50 +0900] "GET /JSP/ex12_moveURL.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:13:56 +0900] "GET /JSP/ex12_moveURL.jsp?url=%B4%D9%C0%BD HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/pages/Main.jsp HTTP/1.1" 200 38123
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/jqvmap/dist/jqvmap.min.css HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/owl.carousel/dist/assets/owl.theme.default.min.css HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/summernote/dist/summernote-bs4.css HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/css/components.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/css/style.css HTTP/1.1" 200 130440
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/js/stisla.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/owl.carousel/dist/owl.carousel.min.js HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/summernote/dist/summernote-bs4.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/jquery-sparkline/jquery.sparkline.min.js HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/chocolat/dist/js/jquery.chocolat.min.js HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/products/product-3-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/products/product-2-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/js/page/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/products/product-1-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /assets/img/kakao.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/avatar/avatar-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/avatar/avatar-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/avatar/avatar-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/avatar/avatar-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/avatar/avatar-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /assets/img/samsung.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/products/product-5-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/assets/img/products/product-4-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/jquery-sparkline/jquery.sparkline.min.js HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/owl.carousel/dist/owl.carousel.min.js HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/summernote/dist/summernote-bs4.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:21 +0900] "GET /3rdProejct2/node_modules/chocolat/dist/js/jquery.chocolat.min.js HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:41 +0900] "GET /3rdProejct2/pages/StockBest.jsp HTTP/1.1" 200 27924
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:41 +0900] "GET /3rdProejct2/node_modules/chocolat/dist/css/chocolat.css HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:41 +0900] "GET /3rdProejct2/node_modules/summernote/dist/summernote-bs4.css HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:41 +0900] "GET /3rdProejct2/node_modules/chocolat/dist/js/jquery.chocolat.min.js HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:41 +0900] "GET /3rdProejct2/node_modules/summernote/dist/summernote-bs4.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:41 +0900] "GET /3rdProejct2/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:42 +0900] "GET /3rdProejct2/node_modules/summernote/dist/summernote-bs4.js HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:42:42 +0900] "GET /3rdProejct2/node_modules/chocolat/dist/js/jquery.chocolat.min.js HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:47:08 +0900] "GET /3rdProejct2/pages/Main.jsp HTTP/1.1" 200 38123
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:47:08 +0900] "GET /3rdProejct2/node_modules/jqvmap/dist/jqvmap.min.css HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [17/Aug/2021:17:47:08 +0900] "GET /3rdProejct2/node_modules/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 404 897
